"order_id"|"order_store"|"order_status"|"order_date"|"customer_id"|"payment_method_raw"
"1074802946"|"-100"|"Entregue"|"2014-01-12 00:00:00"|"CLI13423049592"|"Cartão de Crédito - Visa"
"652966612"|"-100"|"Entregue"|"2014-06-03 00:00:00"|"CLI9239205153"|"Cartão de Crédito - Visa"
"2276113473"|"-100"|"Pedido entregue"|"2017-06-07 00:00:00"|"CLI15043369916"|"null"
"2252978072"|"-100"|"Pedido entregue"|"2017-05-18 00:00:00"|"CLI15011780832"|"boleto"
"1189783495"|"-100"|"Pedido entregue"|"2015-04-18 00:00:00"|"CLI685352"|"tef"
"641539505"|"-100"|"Entregue"|"2014-02-24 00:00:00"|"CLI9098068233"|"Cartão de Crédito - Mastercard"
"1171135473"|"-100"|"Produto recebido - sendo analisado"|"2017-06-06 00:00:00"|"CLI13574345686"|"cartao"
"1171134661"|"-100"|"Entregue"|"2015-03-24 00:00:00"|"CLI13574345686"|"Cartão de Crédito - Visa"
"1053264558"|"-100"|"Entregue"|"2014-03-11 00:00:00"|"CLI695986"|"Cartão de Crédito - Visa"
"807320418"|"-100"|"Enviado"|"2014-05-06 00:00:00"|"CLI695986"|"Cartão de Crédito - Visa"
"2053370144"|"-100"|"Pedido foi negado pela administradora."|"2016-11-22 00:00:00"|"CLI14738988637"|"cartao"
"835699648"|"-100"|"Enviado"|"2014-06-19 00:00:00"|"CLI11304405692"|"Cartão de Crédito - Mastercard"
"1751599098"|"-100"|"Pedido entregue"|"2016-05-12 00:00:00"|"CLI3785725127"|"cartao"
"1287778754"|"-100"|"Pedido entregue"|"2015-09-16 00:00:00"|"CLI2153342100"|"cartao"
"1287776878"|"-100"|"Credito de troca inserido"|"2015-08-05 00:00:00"|"CLI2153342100"|"cartao"
"1026544437"|"102"|\N|"2017-07-11 00:00:00"|"CLI892715"|"A vista"
"1222156029"|"122"|\N|"2016-12-15 00:00:00"|"CLI892715"|"A vista"
"1222167041"|"122"|\N|"2017-01-02 00:00:00"|"CLI892715"|"REDESHOP A VISTA"
"1703530562"|"-100"|"Pedido enviado"|"2016-03-31 00:00:00"|"CLI11823966205"|"cartao"
"891270503"|"-100"|"Entregue"|"2014-07-20 00:00:00"|"CLI11823966205"|"Cartão de Crédito - Visa"
"701103619"|"-100"|"Pedido cancelado pelo cliente"|"2014-07-04 00:00:00"|"CLI5954805961"|"Cartão de Crédito - Mastercard"
"704808756"|"-100"|"Entregue"|"2014-10-04 00:00:00"|"CLI5954805961"|"Cartão de Crédito - Visa"
"1366171173"|"-100"|"Pedido Cancelado"|"2015-10-02 00:00:00"|"CLI12925462907"|"boleto"
"1366171767"|"-100"|"Pedido entregue"|"2016-01-09 00:00:00"|"CLI12925462907"|"boleto"
